title,artist,date,category,medium,id,url,image
Sem título e El Sena por Paris,Isidoro Valcárcel Medina,1975;,Colagem | Registro de ação | Impressão fotomecânica,datilografia e fotocópia sobre papel colados sobre hidrográfica sobre papel,20011,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20011,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/96011_ca_object_representations_media_6966_large.jpg
Relojes,Isidoro Valcárcel Medina,1973;,Colagem | Fotografia | Registro de ação,heliografia e offset sobre papel colados sobre papel,20010,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20010,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/98158_ca_object_representations_media_6982_large.jpg
From the Cycle Simulated Situations - Monologue,Anna Kutera,1976;,Fotografia,caneta hidrográfica sobre fotografia pb sobre papel,20009,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20009,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/1/9/45427_ca_object_representations_media_1978_large.jpg
Sem título,Santiago Rebolledo,circa 1977;,Livro de Artista,fotocópia e carimbo e guache sobre papel encadernado com cola,20008,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20008,
Sem título,Santiago Rebolledo,circa 1977;,Livro de Artista,fotocópia e carimbo sobre papel encadernado com cola,20007,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20007,
Tarjetas Ilustradas,Isidoro Valcárcel Medina,1975;,Colagem | Fotografia | Registro de ação,"datilografia, fotografia em cores e tipografia sobre papel e fita adesiva colados sobre hidrográfica sobre papel",20006,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20006,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/77818_ca_object_representations_media_6981_large.jpg
Hombres Anuncio,Isidoro Valcárcel Medina,1976;,Colagem | Fotografia | Registro de ação,"datilografia, fotografia pb, caneta hidrográfica e tipografia sobre papel colados sobre papel",20005,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20005,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/72217_ca_object_representations_media_6965_large.jpg
Retratos de Estudio,Isidoro Valcárcel Medina,1976;,Colagem | Fotografia | Registro de ação,"datilografia, fotografia pb, caneta hidrográfica e tipografia sobre papel colados sobre papel",20004,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20004,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/31716_ca_object_representations_media_6980_large.jpg
Retratos Callejeros,Isidoro Valcárcel Medina,1975;,Colagem | Fotografia | Registro de ação,"datilografia, fotografia pb, caneta hidrográfica e tipografia sobre papel colados sobre papel",20003,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20003,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/29369_ca_object_representations_media_6979_large.jpg
Definición del Lugar Habitual,Isidoro Valcárcel Medina,1975;,Colagem | Fotografia | Registro de ação,"datilografia, fotografia pb e offset sobre papel colados sobre hidrográfica sobre papel",20002,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20002,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/94627_ca_object_representations_media_6978_large.jpg
"Chicles, Chocolates y Cacahuates",Felipe Ehrenberg,1973;,Publicação de Artista | Livro de Artista | Impresso,offset sobre papel e recorte de jornal encadernados com grampos,20001,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20001,
Condiciones y Ocurrencias,Felipe Ehrenberg,1975;,Publicação de Artista | Impresso | Catálogo,tipografia sobre papel,20000,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20000,
Condiciones y Ocurrencias,Felipe Ehrenberg,1975;,Publicação de Artista | Livro de Artista | Impresso,tipografia e carimbo sobre papel encadernado com grampos,19999,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/19999,
Espejo Opaco,Ramón Pereira,1977;,Reprografia,fotocópia sobre papel,19998,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/19998,
Sem título,Marta Minujín,1976 – 1977;,Desenho | Projeto de Instalação,caneta hidrográfica sobre papel,19997,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/19997,
Repollos,Marta Minujín,1977;,Fotografia | Registro de ação,fotografia pb sobre papel,19996,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/19996,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/8/8/95756_ca_object_representations_media_8821_large.jpg
Calligram,Ludwig Zeller,1971;,Impresso | Desenho,recorte de papel impresso em offset sobre acetato,19995,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/19995,
Surrealisme 1924-1974,Ludwig Zeller,1974;,Publicação de Artista | Livro de Artista,offset sobre papel encadernado com grampos,19994,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/19994,
Dream Woman,Ludwig Zeller,1972;,Publicação de Artista | Livro de Artista,offset sobre papel encadernado com grampos,19993,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/19993,
Woman in Dream,Ludwig Zeller,1975;,Publicação de Artista | Livro de Artista,offset sobre papel encadernado com costura,19992,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/19992,
Mujer en Sueño,Ludwig Zeller,1975;,Publicação de Artista | Livro de Artista,offset sobre papel encadernado com costura,19991,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/19991,
